date,day,type,index_future,index_option,stock_future,stock_option
2021-08-18,Wednesday,weekly,False,True,False,False
2021-08-26,Thursday,monthly,True,True,True,True
2021-09-02,Thursday,weekly,False,True,False,False
2021-09-09,Thursday,weekly,False,True,False,False
2021-09-16,Thursday,weekly,False,True,False,False
2021-09-23,Thursday,weekly,False,True,False,False
2021-09-30,Thursday,monthly,True,True,True,True
2021-10-07,Thursday,weekly,False,True,False,False
2021-10-14,Thursday,weekly,False,True,False,False
2021-10-21,Thursday,weekly,False,True,False,False
2021-10-28,Thursday,monthly,True,True,True,True
2021-11-03,Wednesday,weekly,False,True,False,False
2021-11-11,Thursday,weekly,False,True,False,False
2021-11-18,Thursday,weekly,False,True,False,False
2021-11-25,Thursday,monthly,True,True,True,True
2021-12-02,Thursday,weekly,False,True,False,False
2021-12-09,Thursday,weekly,False,True,False,False
2021-12-16,Thursday,weekly,False,True,False,False
2021-12-23,Thursday,weekly,False,True,False,False
2021-12-30,Thursday,monthly,True,True,True,True
